GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010431	P	seed maturation	7	1307	18	37767	1.3e-05	0.00051	// A0A0D3DC54 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3DBD2 // A0A0D3DDQ3 // A0A0D3CWM0 // A0A0D3CWY7 
GO:0010228	P	vegetative to reproductive phase transition of meristem	15	1307	112	37767	2.4e-05	0.00087	// A0A0D3DEB2 // A0A0D3D1D7 // A0A0D3CVJ4 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3CX00 // A0A0D3DDB7 // A0A0D3D195 // A0A0D3D184 // A0A0D3DD47 // A0A0D3D162 // A0A0D3CWM0 // A0A0D3E4Z6 // A0A0D3CY76 // A0A0D3CWY7 
GO:0010162	P	seed dormancy	6	1307	16	37767	6.5e-05	0.002	// A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3DBD2 // A0A0D3DDQ3 // A0A0D3CWM0 // A0A0D3CWY7 
GO:0048449	P	floral organ formation	6	1307	22	37767	0.00028	0.0066	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3D1B3 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3E4V1 
GO:0048444	P	floral organ morphogenesis	6	1307	31	37767	0.0013	0.024	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3D1B3 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3E4V1 
GO:0048438	P	floral whorl development	12	1307	133	37767	0.0036	0.055	// A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CZ13 // A0A0D3CZ21 // A0A0D3CWI9 // A0A0D3EIH2 // A0A0D3E4V1 // A0A0D3DBR7 // A0A0D3CVS8 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3D1B3 
GO:0048437	P	floral organ development	13	1307	152	37767	0.0038	0.057	// A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CZ13 // A0A0D3CZ21 // A0A0D3CWI9 // A0A0D3EIH2 // A0A0D3E4V1 // A0A0D3DBR7 // A0A0D3CVS8 // A0A0D3DD16 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3D1B3 
GO:0009908	P	flower development	22	1307	377	37767	0.016	0.19	// A0A0D3CWI9 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3EIB3 // A0A0D3CVI1 // A0A0D3CWM0 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3CWY7 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3E4V1 // A0A0D3CVS8 // A0A0D3D195 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3CY76 // A0A0D3CZ21 // A0A0D3D1B3 // A0A0D3DEB2 // A0A0D3DBR7 // A0A0D3DD16 
