GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0048449	P	floral organ formation	16	4866	22	37767	1.5e-06	5.3e-05	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3CZ13 // A0A0D3D1B3 // A0A0D3C9T3 // A0A0D3BPP0 // A0A0D3B8W2 // A0A0D3BNM9 // A0A0D3DD16 // A0A0D3DBR7 // A0A0D3C9Y2 // A0A0D3AZ86 // A0A0D3AYL4 // A0A0D3B0X6 // A0A0D3DA03 // A0A0D3E4V1 
GO:0048444	P	floral organ morphogenesis	18	4866	31	37767	3.6e-06	0.00012	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3BK05 // A0A0D3D1B3 // A0A0D3C9T3 // A0A0D3BPP0 // A0A0D3B8W2 // A0A0D3AYL4 // A0A0D3BNM9 // A0A0D3DD16 // A0A0D3DBR7 // A0A0D3C9Y2 // A0A0D3AZ86 // A0A0D3CZ13 // A0A0D3DEE7 // A0A0D3B0X6 // A0A0D3DA03 // A0A0D3E4V1 
GO:0010431	P	seed maturation	14	4866	18	37767	3.9e-06	0.00013	// A0A0D3B843 // A0A0D3DC54 // A0A0D3EHL2 // A0A0D3C252 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3B7K8 // A0A0D3DBD2 // A0A0D3C9Y2 // A0A0D3EDU2 // A0A0D3DDQ3 // A0A0D3B8C0 // A0A0D3CWM0 // A0A0D3CWY7 
GO:0048437	P	floral organ development	43	4866	152	37767	1.6e-05	0.00046	// A0A0D3CWI9 // A0A0D3AYL4 // A0A0D3BNM9 // A0A0D3B971 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3BF80 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3C9T3 // A0A0D3B8W2 // A0A0D3BEK0 // A0A0D3C8Z6 // A0A0D3BJ93 // A0A0D3B0X6 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3E4V1 // A0A0D3BPP0 // A0A0D3EBS0 // A0A0D3CVS8 // A0A0D3C9Y2 // A0A0D3C9D6 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3D1B3 // A0A0D3BK05 // A0A0D3AYA2 // A0A0D3CZ21 // A0A0D3CV31 // A0A0D3BEN6 // A0A0D3B7N8 // A0A0D3DAT7 // A0A0D3EHM9 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3B8J1 // A0A0D3AZ86 // A0A0D3BDD5 // A0A0D3DA03 // A0A0D3C9M2 // A0A0D3B1H9 
GO:0010162	P	seed dormancy	12	4866	16	37767	2.5e-05	0.00068	// A0A0D3B843 // A0A0D3EHL2 // A0A0D3C252 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3DBD2 // A0A0D3B7K8 // A0A0D3EDU2 // A0A0D3DDQ3 // A0A0D3B8C0 // A0A0D3CWM0 // A0A0D3CWY7 
GO:0010228	P	vegetative to reproductive phase transition of meristem	34	4866	112	37767	3.7e-05	0.00099	// A0A0D3B843 // A0A0D3B1Y7 // A0A0D3C936 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3EHY9 // A0A0D3DDB7 // A0A0D3D184 // A0A0D3E4D4 // A0A0D3BNQ2 // A0A0D3CWM0 // A0A0D3EI31 // A0A0D3EHL2 // A0A0D3AZ96 // A0A0D3D162 // A0A0D3EEB4 // A0A0D3DD47 // A0A0D3CXV0 // A0A0D3EHR1 // A0A0D3CVJ4 // A0A0D3E4Z6 // A0A0D3BJA1 // A0A0D3CX00 // A0A0D3CUM3 // A0A0D3D195 // A0A0D3EDU2 // A0A0D3AYT3 // A0A0D3CY76 // A0A0D3CWY7 // A0A0D3C9Y2 // A0A0D3DEB2 // A0A0D3D1D7 // A0A0D3BJ86 // A0A0D3B8J1 
GO:0048438	P	floral whorl development	37	4866	133	37767	8.1e-05	0.002	// A0A0D3CWI9 // A0A0D3B971 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3BF80 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3C9T3 // A0A0D3B8W2 // A0A0D3AYL4 // A0A0D3C8Z6 // A0A0D3BJ93 // A0A0D3B0X6 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3E4V1 // A0A0D3BNM9 // A0A0D3EBS0 // A0A0D3CVS8 // A0A0D3C9D6 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3D1B3 // A0A0D3BK05 // A0A0D3AYA2 // A0A0D3CZ21 // A0A0D3BEN6 // A0A0D3B8J1 // A0A0D3B7N8 // A0A0D3DAT7 // A0A0D3EHM9 // A0A0D3DBR7 // A0A0D3AZ86 // A0A0D3DA03 // A0A0D3C9M2 // A0A0D3B1H9 
GO:0048465	P	corolla development	12	4866	22	37767	0.00023	0.0051	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3D1B3 // A0A0D3C9T3 // A0A0D3BNM9 // A0A0D3B8W2 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3AZ86 // A0A0D3DEE7 // A0A0D3DA03 
GO:0048441	P	petal development	12	4866	22	37767	0.00023	0.0051	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3D1B3 // A0A0D3C9T3 // A0A0D3BNM9 // A0A0D3B8W2 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3AZ86 // A0A0D3DEE7 // A0A0D3DA03 
GO:0009908	P	flower development	67	4866	377	37767	0.011	0.14	// A0A0D3B843 // A0A0D3CWI9 // A0A0D3AYL4 // A0A0D3BNY6 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3DC33 // A0A0D3DD16 // A0A0D3EIB3 // A0A0D3BNM9 // A0A0D3CVI1 // A0A0D3CU21 // A0A0D3DDM4 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3CVZ1 // A0A0D3CWM0 // A0A0D3B1A3 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3EHL2 // A0A0D3C9T3 // A0A0D3B8W2 // A0A0D3BEK0 // A0A0D3C8Z6 // A0A0D3BJ93 // A0A0D3CWY7 // A0A0D3B971 // A0A0D3B0X6 // A0A0D3BNP6 // A0A0D3BDI8 // A0A0D3BF80 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3E4V1 // A0A0D3BPP0 // A0A0D3CVS8 // A0A0D3C9Y2 // A0A0D3DCT0 // A0A0D3D195 // A0A0D3EDU2 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3BF96 // A0A0D3CY76 // A0A0D3D1B3 // A0A0D3BEY1 // A0A0D3BK05 // A0A0D3AYA2 // A0A0D3EBS0 // A0A0D3CV31 // A0A0D3DEB2 // A0A0D3BEN6 // A0A0D3B7N8 // A0A0D3DAT7 // A0A0D3EHM9 // A0A0D3C1T0 // A0A0D3DBR7 // A0A0D3E580 // A0A0D3CZ21 // A0A0D3B8J1 // A0A0D3AZ86 // A0A0D3C9D6 // A0A0D3BDD5 // A0A0D3DA03 // A0A0D3C9M2 // A0A0D3B1H9 
