GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0048446	P	petal morphogenesis	6	2371	7	37767	5e-05	0.0012	// A0A0D3EIH2 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3BNM9 // A0A0D3AZ86 // A0A0D3DNP0 
GO:0048464	P	flower calyx development	6	2371	8	37767	8.4e-05	0.0019	// A0A0D3EIH2 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3BNM9 // A0A0D3AZ86 // A0A0D3DNP0 
GO:0048442	P	sepal development	6	2371	8	37767	8.4e-05	0.0019	// A0A0D3EIH2 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3BNM9 // A0A0D3AZ86 // A0A0D3DNP0 
GO:0010162	P	seed dormancy	7	2371	16	37767	0.00026	0.0048	// A0A0D3B843 // A0A0D3EHL2 // A0A0D3C252 // A0A0D3EDU2 // A0A0D3B7K8 // A0A0D3B8C0 // A0A0D3C2D8 
GO:0048449	P	floral organ formation	8	2371	22	37767	0.00027	0.0049	// A0A0D3EIH2 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3BPP0 // A0A0D3BNM9 // A0A0D3AZ86 // A0A0D3B0X6 // A0A0D3DNP0 
GO:0010431	P	seed maturation	7	2371	18	37767	0.00046	0.0079	// A0A0D3B843 // A0A0D3EHL2 // A0A0D3C252 // A0A0D3EDU2 // A0A0D3B7K8 // A0A0D3B8C0 // A0A0D3C2D8 
GO:0010228	P	vegetative to reproductive phase transition of meristem	17	2371	112	37767	0.0016	0.023	// A0A0D3B843 // A0A0D3BQ36 // A0A0D3EI31 // A0A0D3EHL2 // A0A0D3EHR1 // A0A0D3D1D7 // A0A0D3AZ96 // A0A0D3EHY9 // A0A0D3BNQ2 // A0A0D3D195 // A0A0D3EDU2 // A0A0D3D184 // A0A0D3BQ56 // A0A0D3D162 // A0A0D3EEB4 // A0A0D3B8J1 // A0A0D3C2D8 
GO:0048444	P	floral organ morphogenesis	8	2371	31	37767	0.0017	0.025	// A0A0D3EIH2 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3BPP0 // A0A0D3BNM9 // A0A0D3AZ86 // A0A0D3B0X6 // A0A0D3DNP0 
