GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0048464	P	flower calyx development	8	3851	8	37767	3.5e-05	0.0014	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048442	P	sepal development	8	3851	8	37767	3.5e-05	0.0014	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0010228	P	vegetative to reproductive phase transition of meristem	26	3851	112	37767	0.00036	0.01	// A0A0D3EEX9 // A0A0D3E5D2 // A0A0D3C936 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3DDB7 // A0A0D3E4D4 // A0A0D3CWM0 // A0A0D3EI31 // A0A0D3DD47 // A0A0D3CXV0 // A0A0D3CVJ4 // A0A0D3E5C0 // A0A0D3BJA1 // A0A0D3CX00 // A0A0D3CUM3 // A0A0D3E4Z6 // A0A0D3AYT3 // A0A0D3CY76 // A0A0D3CWY7 // A0A0D3DEB2 // A0A0D3BIE0 // A0A0D3D919 // A0A0D3BJ86 // A0A0D3DPN8 // A0A0D3DBR3 
GO:0048444	P	floral organ morphogenesis	12	3851	31	37767	0.00039	0.011	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3E4V1 // A0A0D3BK05 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3DEE7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048449	P	floral organ formation	10	3851	22	37767	0.00043	0.012	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3E4V1 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048437	P	floral organ development	31	3851	152	37767	0.00072	0.019	// A0A0D3CWI9 // A0A0D3DJR5 // A0A0D3B971 // A0A0D3DNH1 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3BJ93 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3DJF9 // A0A0D3E4V1 // A0A0D3AYL4 // A0A0D3D920 // A0A0D3CVS8 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3BK05 // A0A0D3AYA2 // A0A0D3CZ21 // A0A0D3CV31 // A0A0D3BIE0 // A0A0D3DBR3 // A0A0D3DAT7 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3BDD5 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048438	P	floral whorl development	28	3851	133	37767	0.00084	0.021	// A0A0D3CWI9 // A0A0D3DJR5 // A0A0D3B971 // A0A0D3DNH1 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3BJ93 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3DJF9 // A0A0D3E4V1 // A0A0D3AYL4 // A0A0D3D920 // A0A0D3CVS8 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3BK05 // A0A0D3AYA2 // A0A0D3CZ21 // A0A0D3BIE0 // A0A0D3DBR3 // A0A0D3DAT7 // A0A0D3DBR7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048465	P	corolla development	9	3851	22	37767	0.0015	0.033	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DEE7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0048441	P	petal development	9	3851	22	37767	0.0015	0.033	// A0A0D3EIH2 // A0A0D3B971 // A0A0D3DJF9 // A0A0D3AYL4 // A0A0D3CZ13 // A0A0D3DBR7 // A0A0D3DEE7 // A0A0D3DA03 // A0A0D3DNP0 
GO:0010431	P	seed maturation	8	3851	18	37767	0.0018	0.039	// A0A0D3DC54 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3DBD2 // A0A0D3DDQ3 // A0A0D3EEX9 // A0A0D3CWM0 // A0A0D3CWY7 
