GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0048446	P	petal morphogenesis	6	1482	7	37767	3.9e-06	0.00024	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0048464	P	flower calyx development	6	1482	8	37767	6.6e-06	0.00036	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0048442	P	sepal development	6	1482	8	37767	6.6e-06	0.00036	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0010228	P	vegetative to reproductive phase transition of meristem	15	1482	112	37767	9.4e-05	0.0035	// A0A0D3CXV0 // A0A0D3EI31 // A0A0D3CUM3 // A0A0D3D1D7 // A0A0D3CVJ4 // A0A0D3AZ96 // A0A0D3EHY9 // A0A0D3AYT3 // A0A0D3D195 // A0A0D3D184 // A0A0D3CY76 // A0A0D3D162 // A0A0D3CWM0 // A0A0D3C2D8 // A0A0D3CWY7 
GO:0048465	P	corolla development	6	1482	22	37767	0.00053	0.014	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0048441	P	petal development	6	1482	22	37767	0.00053	0.014	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0048449	P	floral organ formation	6	1482	22	37767	0.00053	0.014	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0010162	P	seed dormancy	5	1482	16	37767	0.00094	0.022	// A0A0D3EIG4 // A0A0D3CWY7 // A0A0D3CWM0 // A0A0D3C2D8 // A0A0D3C252 
GO:0010431	P	seed maturation	5	1482	18	37767	0.0015	0.032	// A0A0D3EIG4 // A0A0D3CWY7 // A0A0D3CWM0 // A0A0D3C2D8 // A0A0D3C252 
GO:0048444	P	floral organ morphogenesis	6	1482	31	37767	0.0024	0.046	// A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3D1B3 // A0A0D3AYL4 // A0A0D3AZ86 
GO:0048573	P	photoperiodism, flowering	8	1482	59	37767	0.0037	0.062	// A0A0D3EI31 // A0A0D3D1D7 // A0A0D3AZ96 // A0A0D3EHY9 // A0A0D3AYT3 // A0A0D3D195 // A0A0D3D162 // A0A0D3CY76 
GO:0048438	P	floral whorl development	13	1482	133	37767	0.0037	0.062	// A0A0D3EIH2 // A0A0D3CXV0 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3CZ21 // A0A0D3CWI9 // A0A0D3AYL4 // A0A0D3AZ86 // A0A0D3CVJ9 // A0A0D3CVS8 // A0A0D3CZW5 // A0A0D3CWJ3 // A0A0D3D1B3 
GO:0048437	P	floral organ development	14	1482	152	37767	0.0043	0.07	// A0A0D3EIH2 // A0A0D3CXV0 // A0A0D3CZ13 // A0A0D3DJF9 // A0A0D3CZ21 // A0A0D3CV31 // A0A0D3CWI9 // A0A0D3AYL4 // A0A0D3AZ86 // A0A0D3CVJ9 // A0A0D3CVS8 // A0A0D3CZW5 // A0A0D3CWJ3 // A0A0D3D1B3 
GO:0009908	P	flower development	23	1482	377	37767	0.031	0.38	// A0A0D3CWI9 // A0A0D3EIB3 // A0A0D3CVI1 // A0A0D3CVZ1 // A0A0D3CWM0 // A0A0D3EIH2 // A0A0D3CZ13 // A0A0D3D1B3 // A0A0D3CZW5 // A0A0D3C2D8 // A0A0D3CVJ9 // A0A0D3CXV0 // A0A0D3DJF9 // A0A0D3AYL4 // A0A0D3CVS8 // A0A0D3D195 // A0A0D3CWJ3 // A0A0D3CY76 // A0A0D3CWY7 // A0A0D3CZ21 // A0A0D3CV31 // A0A0D3CU21 // A0A0D3AZ86 
