GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010431	P	seed maturation	12	3707	18	37767	4.8e-06	0.00017	// A0A0D3B843 // A0A0D3DC54 // A0A0D3C252 // A0A0D3DEB2 // A0A0D3DBD2 // A0A0D3B7K8 // A0A0D3EDU2 // A0A0D3DDQ3 // A0A0D3B8C0 // A0A0D3CWM0 // A0A0D3C2D8 // A0A0D3CWY7 
GO:0010162	P	seed dormancy	11	3707	16	37767	9.6e-06	0.00032	// A0A0D3B843 // A0A0D3C252 // A0A0D3DEB2 // A0A0D3DBD2 // A0A0D3B7K8 // A0A0D3EDU2 // A0A0D3DDQ3 // A0A0D3B8C0 // A0A0D3CWM0 // A0A0D3C2D8 // A0A0D3CWY7 
GO:0048444	P	floral organ morphogenesis	12	3707	31	37767	0.00028	0.0061	// A0A0D3BK05 // A0A0D3B971 // A0A0D3E4V1 // A0A0D3BPP0 // A0A0D3B8W2 // A0A0D3BNM9 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3CZ63 // A0A0D3DEE7 // A0A0D3B0X6 // A0A0D3DA03 
GO:0048449	P	floral organ formation	10	3707	22	37767	0.00033	0.0068	// A0A0D3B971 // A0A0D3E4V1 // A0A0D3BPP0 // A0A0D3B8W2 // A0A0D3BNM9 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3CZ63 // A0A0D3B0X6 // A0A0D3DA03 
GO:0048446	P	petal morphogenesis	6	3707	7	37767	0.0005	0.0099	// A0A0D3B971 // A0A0D3BNM9 // A0A0D3B8W2 // A0A0D3DBR7 // A0A0D3DEE7 // A0A0D3DA03 
GO:0048439	P	flower morphogenesis	5	3707	5	37767	0.00098	0.018	// A0A0D3BDD5 // A0A0D3BF96 // A0A0D3DDM4 // A0A0D3DC48 // A0A0D3E4V1 
GO:0048437	P	floral organ development	28	3707	152	37767	0.0028	0.044	// A0A0D3CWI9 // A0A0D3B971 // A0A0D3CST8 // A0A0D3DEE7 // A0A0D3BF80 // A0A0D3B8W2 // A0A0D3BNM9 // A0A0D3C2F6 // A0A0D3BJ93 // A0A0D3BQ56 // A0A0D3B0X6 // A0A0D3B6I0 // A0A0D3DC33 // A0A0D3CXV0 // A0A0D3E4V1 // A0A0D3BPP0 // A0A0D3CZ63 // A0A0D3DDQ3 // A0A0D3CZ21 // A0A0D3BK05 // A0A0D3EBS0 // A0A0D3B7N8 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3BDD5 // A0A0D3DA03 // A0A0D3B8J1 // A0A0D3B1H9 
