"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","reproductive system development","GO:0061458","7.521406732214737e-18","17.123700925511685","466","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","reproductive structure development","GO:0048608","7.521406732214737e-18","17.123700925511685","466","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","anatomical structure development","GO:0048856","3.9564964597784324e-17","16.40268921853735","1124","33","21","22323","BO3G045150,BO3G048610,BO3G149420,BO3G149570,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G096080,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044060,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","developmental process involved in reproduction","GO:0003006","7.087751783793706e-17","16.14949150003978","532","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","developmental process","GO:0032502","1.2569035692897077e-16","15.900698040477792","1189","33","21","22323","BO3G045150,BO3G048610,BO3G149420,BO3G149570,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G096080,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044060,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","reproduction","GO:0000003","2.2661850482586497e-16","15.644704630149429","705","33","18","22323","BO3G045150,BO3G048610,BO3G149570,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","post-embryonic development","GO:0009791","7.507603213442628e-16","15.124498688470245","612","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","reproductive process","GO:0022414","7.303160608503966e-15","14.136489148404142","701","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","system development","GO:0048731","9.926521542388595e-15","14.00320291057824","714","33","17","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","multicellular organism development","GO:0007275","6.781571395731415e-14","13.16866966167542","974","33","18","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044060,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","multicellular organismal process","GO:0032501","1.2475826008231442e-12","11.903930690679234","1151","33","18","22323","BO3G045150,BO3G048610,BO4G024840,BO5G012030,BO5G017960,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO7G085880,BO7G089170,BO7G091510,BO9G044060,BO9G044180,BO9G151990,BO9G154700,BO9G161800,BO9G181310"
"GO:BP","vegetative to reproductive phase transition of meristem","GO:0010228","1.67892456767766e-12","11.774968815819825","85","33","9","22323","BO4G024840,BO5G012030,BO6G099320,BO6G120900,BO7G089170,BO7G091510,BO9G044180,BO9G154700,BO9G181310"
"GO:BP","response to abiotic stimulus","GO:0009628","0.00007076412482672617","4.15018686008573","811","33","10","22323","BO5G012030,BO6G096080,BO6G099320,BO6G120900,BO7G068840,BO7G089170,BO9G033770,BO9G044060,BO9G044180,BO9G181310"
"GO:BP","reproductive shoot system development","GO:0090567","0.0001713447211284958","3.7661292709836336","197","33","6","22323","BO4G024840,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO9G161800"
"GO:BP","shoot system development","GO:0048367","0.00019556369794809203","3.708711759180412","331","33","7","22323","BO3G045150,BO4G024840,BO6G086830,BO6G088000,BO6G099320,BO6G120900,BO9G161800"
"GO:BP","regulation of reproductive process","GO:2000241","0.00042311089552228874","3.373545791014057","123","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G181310"
"GO:BP","photoperiodism, flowering","GO:0048573","0.00043915382314679195","3.357383332052629","52","33","4","22323","BO6G099320,BO6G120900,BO7G089170,BO9G181310"
"GO:BP","photoperiodism","GO:0009648","0.0005933231492620532","3.2267087067769227","56","33","4","22323","BO6G099320,BO6G120900,BO7G089170,BO9G181310"
"GO:BP","regulation of flower development","GO:0009909","0.0009552646050902793","3.01987631363785","63","33","4","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900"
"GO:BP","embryo development ending in seed dormancy","GO:0009793","0.001089778349732932","2.962661824331449","149","33","5","22323","BO3G045150,BO3G048610,BO5G017960,BO7G085880,BO9G161800"
"GO:BP","embryo development","GO:0009790","0.0015454232783022642","2.8109525503787594","160","33","5","22323","BO3G045150,BO3G048610,BO5G017960,BO7G085880,BO9G161800"
"GO:BP","regulation of post-embryonic development","GO:0048580","0.0018503693889664384","2.7327415647991127","166","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G181310"
"GO:BP","protein desumoylation","GO:0016926","0.0027378473627635482","2.562590767800764","3","33","2","22323","BO5G012030,BO9G044180"
"GO:BP","response to light stimulus","GO:0009416","0.0035801366058743284","2.446100401835025","333","33","6","22323","BO6G096080,BO6G099320,BO6G120900,BO7G068840,BO7G089170,BO9G181310"
"GO:BP","flower development","GO:0009908","0.003664340553672943","2.4360041710009113","191","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G161800"
"GO:BP","response to radiation","GO:0009314","0.004236865890297798","2.372955282523771","343","33","6","22323","BO6G096080,BO6G099320,BO6G120900,BO7G068840,BO7G089170,BO9G181310"
"GO:BP","regulation of shoot system development","GO:0048831","0.004347903557458694","2.361720097733865","92","33","4","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900"
"GO:BP","plant organ development","GO:0099402","0.006712593119703146","2.1731096765485933","372","33","6","22323","BO3G045150,BO4G024840,BO5G017960,BO6G086830,BO6G088000,BO9G161800"
"GO:BP","seed development","GO:0048316","0.006793032207146938","2.167936326325947","217","33","5","22323","BO3G045150,BO3G048610,BO5G017960,BO7G085880,BO9G161800"
"GO:BP","regulation of multicellular organismal development","GO:2000026","0.006793032207146938","2.167936326325947","217","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G181310"
"GO:BP","fruit development","GO:0010154","0.00861812420283525","2.0645872512296313","228","33","5","22323","BO3G045150,BO3G048610,BO5G017960,BO7G085880,BO9G161800"
"GO:BP","tissue development","GO:0009888","0.012649140255997122","1.8979389918609013","247","33","5","22323","BO3G149420,BO3G149570,BO5G017960,BO9G151990,BO9G161800"
"GO:BP","cell morphogenesis","GO:0000902","0.012826978159377594","1.891875644738275","121","33","4","22323","BO3G149420,BO5G017960,BO6G096080,BO9G181310"
"GO:BP","regulation of multicellular organismal process","GO:0051239","0.012895889954607628","1.889548681518403","248","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G181310"
"GO:BP","cellular developmental process","GO:0048869","0.02298492036018475","1.638556996686011","280","33","5","22323","BO3G149420,BO5G017960,BO6G096080,BO7G091510,BO9G181310"
"GO:BP","phloem or xylem histogenesis","GO:0010087","0.025171796180225338","1.599085793457279","51","33","3","22323","BO3G149570,BO5G017960,BO9G161800"
"GO:BP","cellular component morphogenesis","GO:0032989","0.026016764318626973","1.5847467172266232","145","33","4","22323","BO3G149420,BO5G017960,BO6G096080,BO9G181310"
"GO:BP","regulation of developmental process","GO:0050793","0.028957633368240237","1.5382369347785212","294","33","5","22323","BO4G024840,BO6G086830,BO6G099320,BO6G120900,BO9G181310"
"GO:BP","cellular biosynthetic process","GO:0044249","0.03076495004651179","1.511943785745525","5601","33","19","22323","BO3G045150,BO3G048610,BO3G141510,BO3G149420,BO3G149570,BO4G024640,BO4G024840,BO6G074910,BO6G080100,BO6G088000,BO6G096080,BO7G068840,BO7G085880,BO7G089170,BO7G091510,BO9G033770,BO9G040840,BO9G044060,BO9G151990"
"GO:BP","anatomical structure morphogenesis","GO:0009653","0.03391039434460906","1.469667159773908","304","33","5","22323","BO3G149420,BO5G017960,BO6G096080,BO9G161800,BO9G181310"
"KEGG","Circadian rhythm - plant","KEGG:04712","0.012639337723462304","1.8982756816375836","53","17","3","5601","BO4G006930,BO6G099320,BO6G120900"
