Names	total	elements
EF-IF EF-LF EF-NF IF-LF IF-NF LF-NF	3	floral organ morphogenesis
		floral organ formation
		seed maturation
EF-IF EF-LF EF-NF IF-NF LF-NF	1	vegetative to reproductive phase transition of meristem
EF-IF EF-LF IF-LF IF-NF LF-NF	1	seed dormancy
EF-IF EF-LF EF-NF LF-NF	2	flower calyx development
		sepal development
EF-IF EF-LF IF-LF LF-NF	1	petal morphogenesis
EF-LF EF-NF IF-LF IF-NF	1	floral organ development
EF-LF EF-NF IF-NF LF-NF	2	corolla development
		petal development
EF-LF EF-NF IF-NF	1	floral whorl development
IF-LF	1	flower morphogenesis
