Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID	Dataset
Bo2g167620	Bo2g167620.1	A0A0D3AYT3	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g001310	Bo3g001310.1	A0A0D3AZ96	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g001370	Bo3g001370.1	A0A0D3AZA2	mart_export_meristem_growth.tsv
Bo3g009090	Bo3g009090.1	A0A0D3B0X6	mart_export_meristem_growth.tsv
Bo3g013690	Bo3g013690.1	A0A0D3B1Y7	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g036550	Bo3g036550.1	A0A0D3B6I0	mart_export_meristem_growth.tsv
Bo3g042990	Bo3g042990.1	A0A0D3B7S6	mart_export_meristem_growth.tsv
Bo3g044220	Bo3g044220.1	A0A0D3B7V0	mart_export_meristem_growth.tsv
Bo3g045150	Bo3g045150.1	A0A0D3B843	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g048610	Bo3g048610.1	A0A0D3B8J1	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g049920	Bo3g049920.1	A0A0D3B8M3	mart_export_meristem_growth.tsv
Bo3g054920	Bo3g054920.1	A0A0D3B976	mart_export_meristem_growth.tsv
Bo3g083660	Bo3g083660.1	A0A0D3BD65	mart_export_meristem_growth.tsv
Bo3g097780	Bo3g097780.1	A0A0D3BEN6	mart_export_meristem_growth.tsv
Bo3g141510	Bo3g141510.1	A0A0D3BIE0	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g149420	Bo3g149420.1	A0A0D3BJ86	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo3g149490	Bo3g149490.1	A0A0D3BJ93	mart_export_meristem_growth.tsv
Bo3g149570	Bo3g149570.1	A0A0D3BJA1	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo4g006930	Bo4g006930.1	A0A0D3BNQ2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo4g024640	Bo4g024640.1	A0A0D3BQ36	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo4g024840	Bo4g024840.1	A0A0D3BQ56	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo4g157430	Bo4g157430.1	A0A0D3C207	mart_export_meristem_growth.tsv
Bo4g163690	Bo4g163690.1	A0A0D3C2D8	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo5g012030	Bo5g012030.1	A0A0D3C936	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo5g017660	Bo5g017660.1	A0A0D3C9V2	mart_export_meristem_growth.tsv
Bo5g017960	Bo5g017960.1	A0A0D3C9Y2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g074910	Bo6g074910.1	A0A0D3CUM3	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g080100	Bo6g080100.1	A0A0D3CVJ4	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g086830	Bo6g086830.1	A0A0D3CWM0	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g088000	Bo6g088000.1	A0A0D3CWY7	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g088130	Bo6g088130.1	A0A0D3CX00	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g096080	Bo6g096080.1	A0A0D3CXV0	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g097180	Bo6g097180.1	A0A0D3CXW1	mart_export_meristem_growth.tsv
Bo6g099320	Bo6g099320.1	A0A0D3CY76	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g113130	Bo6g113130.1	A0A0D3CZW5	mart_export_meristem_growth.tsv
Bo6g120570	Bo6g120570.1	A0A0D3D162	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g120790	Bo6g120790.1	A0A0D3D184	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g120900	Bo6g120900.1	A0A0D3D195	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo6g121320	Bo6g121320.1	A0A0D3D1D7	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g068840	Bo7g068840.1	A0A0D3D919	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g080630	Bo7g080630.1	A0A0D3DAF5	mart_export_meristem_growth.tsv
Bo7g084330	Bo7g084330.1	A0A0D3DB76	mart_export_meristem_growth.tsv
Bo7g085880	Bo7g085880.1	A0A0D3DBD2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g089170	Bo7g089170.1	A0A0D3DBR3	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g089510	Bo7g089510.1	A0A0D3DBU7	mart_export_meristem_growth.tsv
Bo7g091510	Bo7g091510.1	A0A0D3DC48	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
