Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID	Dataset
Bo7g096980	Bo7g096980.1	A0A0D3DD47	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g097680	Bo7g097680.1	A0A0D3DDB7	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo7g098750	Bo7g098750.1	A0A0D3DDM4	mart_export_meristem_growth.tsv
Bo7g099040	Bo7g099040.1	A0A0D3DDQ3	mart_export_meristem_growth.tsv
Bo7g104100	Bo7g104100.1	A0A0D3DEB2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo8g011330	Bo8g011330.1	A0A0D3DJI2	mart_export_meristem_growth.tsv
Bo8g015020	Bo8g015020.1	A0A0D3DJQ4	mart_export_meristem_growth.tsv
Bo8g015130	Bo8g015130.1	A0A0D3DJR5	mart_export_meristem_growth.tsv
Bo8g066020	Bo8g066020.1	A0A0D3DPN8	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g033770	Bo9g033770.1	A0A0D3E4D4	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g040840	Bo9g040840.1	A0A0D3E4Z6	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g044060	Bo9g044060.1	A0A0D3E5C0	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g044180	Bo9g044180.1	A0A0D3E5D2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g151990	Bo9g151990.1	A0A0D3EDU2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g154700	Bo9g154700.1	A0A0D3EEB4	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g158600	Bo9g158600.1	A0A0D3EEK7	mart_export_meristem_growth.tsv
Bo9g161800	Bo9g161800.1	A0A0D3EEX9	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g177070	Bo9g177070.1	A0A0D3EHL2	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g177560	Bo9g177560.1	A0A0D3EHR1	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g181310	Bo9g181310.1	A0A0D3EHY9	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
Bo9g181730	Bo9g181730.1	A0A0D3EI31	mart_export_vegetative_to_reproductive_phase_transition_of_meristem.tsv
